date,noncomm_short,noncomm_long,open_interest_all,net
2002-04-16,5958,34125,73774,28167
2002-04-23,3698,32350,71283,28652
2002-04-30,3686,32661,73618,28975
2002-05-07,3761,33697,73729,29936
2002-05-14,3413,34377,74887,30964
2002-05-21,3708,49038,85666,45330
2002-05-28,6586,56092,98766,49506
2002-06-04,6012,58184,101403,52172
2002-06-11,4528,54720,101564,50192
2002-06-18,4841,49496,102608,44655
2002-06-25,5657,44821,98927,39164
2002-07-02,4763,47016,93941,42253
2002-07-09,5742,50066,97169,44324
2002-07-16,4089,52634,100428,48545
2002-07-23,3835,47110,95317,43275
2002-07-30,3708,32082,83102,28374
2002-08-06,4766,29692,83630,24926
2002-08-13,6244,28981,82391,22737
2002-08-20,9787,26231,83430,16444
2002-08-27,13424,26550,79468,13126
2002-09-03,14855,26210,77879,11355
2002-09-10,15038,26612,80009,11574
2002-09-17,14087,28406,81185,14319
2002-09-24,10747,32953,81663,22206
2002-10-01,12792,30840,81743,18048
2002-10-08,20882,29252,86501,8370
2002-10-15,29002,28629,90648,-373
2002-10-22,30917,30128,92676,-789
2002-10-29,27401,29937,89063,2536
2002-11-05,22234,28414,85603,6180
2002-11-12,15936,30745,84103,14809
2002-11-19,14484,32339,86256,17855
2002-11-26,16324,28788,83456,12464
2002-12-03,16765,29315,79183,12550
2002-12-10,10149,31288,76695,21139
2002-12-17,6138,33764,78899,27626
2002-12-23,5314,34246,76932,28932
2002-12-31,4772,36652,80920,31880
2003-01-07,7406,45993,95739,38587
2003-01-14,8658,45901,98600,37243
2003-01-21,8616,47016,99420,38400
2003-01-28,7167,47139,102214,39972
2003-02-04,6582,49110,103514,42528
2003-02-11,7324,36461,95036,29137
2003-02-14,10643,30821,92139,20178
2003-02-25,9723,30629,90955,20906
2003-03-04,9499,27509,81825,18010
2003-03-11,6577,28597,81943,22020
2003-03-18,14759,27518,83928,12759
2003-03-25,25714,25093,88189,-621
2003-04-01,28948,25268,89047,-3680
2003-04-08,28192,27512,90692,-680
2003-04-15,27201,26854,88705,-347
2003-04-22,22701,26792,87564,4091
2003-04-29,15398,24615,81957,9217
2003-05-06,8581,34169,84773,25588
2003-05-13,6805,39038,89108,32233
2003-05-20,8176,40340,89363,32164
2003-05-27,6110,36415,82547,30305
2003-06-03,6250,26998,75912,20748
2003-06-10,11940,26604,78684,14664
2003-06-17,13676,27358,79428,13682
2003-06-24,17398,27154,83905,9756
2003-07-01,17810,26686,79972,8876
2003-07-08,10210,31125,81775,20915
2003-07-15,8294,38637,87872,30343
2003-07-22,9419,39330,89035,29911
2003-07-29,7572,56004,108811,48432
2003-08-05,5353,53066,110005,47713
2003-08-12,6163,48346,107445,42183
2003-08-19,5482,45072,107708,39590
2003-08-26,4403,46748,103343,42345
2003-09-02,6073,47810,103311,41737
2003-09-09,4680,57490,109498,52810
2003-09-16,5118,56129,115510,51011
2003-09-23,5742,54399,114578,48657
2003-09-30,6033,50958,105542,44925
2003-10-07,6991,29732,89786,22741
2003-10-14,9693,28179,86995,18486
2003-10-21,8228,30156,90599,21928
2003-10-28,5011,33068,93409,28057
2003-11-04,5156,30227,92256,25071
2003-11-11,5377,29492,91880,24115
2003-11-18,5213,42567,109720,37354
2003-11-25,1659,41236,107762,39577
2003-12-02,2656,47798,104077,45142
2003-12-09,3595,50808,103100,47213
2003-12-16,3769,53237,104093,49468
2003-12-22,3498,52468,102585,48970
2003-12-30,3364,54889,102784,51525
2004-01-06,4042,59543,107665,55501
2004-01-13,4752,57364,108724,52612
2004-01-20,7743,54925,107814,47182
2004-01-27,4621,61066,114036,56445
2004-02-03,2650,53206,107432,50556
2004-02-10,3983,54115,112587,50132
2004-02-17,3969,57144,119070,53175
2004-02-24,2432,56131,118149,53699
2004-03-02,3783,58087,113485,54304
2004-03-09,4449,63135,116299,58686
2004-03-16,5183,61444,117659,56261
2004-03-23,5373,61720,119976,56347
2004-03-30,3496,59587,119147,56091
2004-04-06,5696,57433,120507,51737
2004-04-12,3728,55444,119901,51716
2004-04-20,3286,46589,110293,43303
2004-04-27,4447,39078,106516,34631
2004-05-04,4130,37178,93166,33048
2004-05-11,5389,33653,91879,28264
2004-05-18,6815,32998,89376,26183
2004-05-25,7247,30587,88330,23340
2004-06-01,7209,30077,85891,22868
2004-06-08,9397,29672,83809,20275
2004-06-15,8623,29651,85796,21028
2004-06-22,8260,29109,90502,20849
2004-06-29,5165,30613,90221,25448
2004-07-06,6413,30389,82761,23976
2004-07-13,2825,36761,87162,33936
2004-07-20,3272,43271,92456,39999
2004-07-27,4728,40184,91991,35456
2004-08-03,4256,44765,94715,40509
2004-08-10,3675,48019,97251,44344
2004-08-17,2830,46370,96119,43540
2004-08-24,2074,48506,102711,46432
2004-08-31,2547,48118,95230,45571
2004-09-07,4221,38898,87139,34677
2004-09-14,7365,30554,82028,23189
2004-09-21,6958,30798,82327,23840
2004-09-28,4831,32046,83896,27215
2004-10-05,4088,50369,99518,46281
2004-10-12,5141,58594,107869,53453
2004-10-19,5058,60545,111307,55487
2004-10-26,6653,62746,116815,56093
2004-11-02,4172,58504,114494,54332
2004-11-09,6960,64181,123564,57221
2004-11-16,7074,64251,124272,57177
2004-11-23,4062,69820,121720,65758
2004-11-30,3763,70987,116958,67224
2004-12-07,3668,73786,125722,70118
2004-12-14,3331,46556,101771,43225
2004-12-21,4553,42217,98426,37664
2004-12-28,4612,42318,99266,37706
2005-01-04,4797,43147,96882,38350
2005-01-11,9052,42170,98189,33118
2005-01-18,9642,42288,98962,32646
2005-01-25,10583,40809,96891,30226
2005-02-01,10753,40985,95173,30232
2005-02-08,11700,39463,95344,27763
2005-02-15,6690,43664,96899,36974
2005-02-22,5157,47471,102103,42314
2005-03-01,4887,47371,99341,42484
2005-03-08,4676,49415,101960,44739
2005-03-15,3510,47955,102305,44445
2005-03-22,6246,45798,103328,39552
2005-03-29,4674,37645,96568,32971
2005-04-05,4663,39261,98663,34598
2005-04-12,4268,40952,102168,36684
2005-04-19,3273,40909,104305,37636
2005-04-26,4236,44601,111987,40365
2005-05-03,18029,37887,105261,19858
2005-05-10,15121,37632,104114,22511
2005-05-17,14087,38777,102869,24690
2005-05-24,13572,38526,105219,24954
2005-05-31,9956,52757,113358,42801
2005-06-07,7479,64948,121857,57469
2005-06-14,5778,59725,128442,53947
2005-06-21,5781,57072,130474,51291
2005-06-28,6335,52982,124362,46647
2005-07-05,18329,42886,122624,24557
2005-07-12,18891,41751,123279,22860
2005-07-19,21296,43198,128213,21902
2005-07-26,19384,41302,123485,21918
2005-08-02,9640,43043,122020,33403
2005-08-09,12687,41925,123818,29238
2005-08-16,15861,40199,121306,24338
2005-08-23,15490,40167,116131,24677
2005-08-30,32167,43817,120303,11650
2005-09-06,24659,39225,112175,14566
2005-09-13,26495,42004,115435,15509
2005-09-20,15548,49008,117718,33460
2005-09-27,13317,50616,118954,37299
2005-10-04,12413,55195,125742,42782
2005-10-11,11516,62883,134435,51367
2005-10-18,12036,66282,142530,54246
2005-10-25,12135,66256,138960,54121
2005-11-01,9137,60685,137967,51548
2005-11-08,11181,62257,143966,51076
2005-11-15,13493,65215,150342,51722
2005-11-22,12988,73548,149698,60560
2005-11-29,12079,75230,145136,63151
2005-12-06,12301,79031,141571,66730
2005-12-13,10147,72934,137249,62787
2005-12-20,7927,68903,133600,60976
2005-12-27,7888,69081,135028,61193
2006-01-03,7108,66488,131555,59380
2006-01-10,5580,64551,130725,58971
2006-01-17,5452,64299,131701,58847
2006-01-24,7114,66946,131185,59832
2006-01-31,10246,66502,133259,56256
2006-02-07,10006,62794,130754,52788
2006-02-14,8687,59275,127737,50588
2006-02-21,8096,59943,132532,51847
2006-02-28,12249,56871,127839,44622
