date,open_interest_all,net
1998-07-14,76839,18800
1998-07-21,81787,22283
1998-07-28,80261,30667
1998-08-04,81012,29879
1998-08-11,82378,25781
1998-08-18,83930,18606
1998-08-25,83468,17202
1998-09-01,79403,8693
1998-09-08,76854,9179
1998-09-15,72989,10863
1998-09-22,74894,12172
1998-09-29,72508,24009
1998-10-06,72198,23203
1998-10-13,74184,17886
1998-10-20,74847,17816
1998-10-27,76173,17368
1998-11-03,74429,18658
1998-11-10,75074,20312
1998-11-17,77804,19006
1998-11-24,76932,14371
1998-12-01,74764,15479
1998-12-08,82305,6860
1998-12-15,80768,7197
1998-12-22,76273,13179
1998-12-29,75987,14250
1999-01-05,76063,16651
1999-01-12,80352,32807
1999-01-19,76822,30076
1999-01-26,76505,30121
1999-02-02,89734,40117
1999-02-09,100332,53636
1999-02-16,98123,51781
1999-02-23,95748,50884
1999-03-02,97800,51900
1999-03-09,85178,41466
1999-03-16,80622,29714
1999-03-23,76062,23255
1999-03-30,78567,25332
1999-04-06,79770,21883
1999-04-13,84956,11805
1999-04-20,83096,21484
1999-04-27,82409,23427
1999-05-04,76614,32382
1999-05-11,82022,38455
1999-05-18,81269,37555
1999-05-25,74250,26494
1999-06-01,76488,17963
1999-06-08,82171,11089
1999-06-15,76482,14487
1999-06-22,79866,12033
1999-06-29,78443,20172
1999-07-06,81775,32344
1999-07-13,81007,32175
1999-07-20,74994,22730
1999-07-27,74673,25650
1999-08-03,86060,41960
1999-08-10,94386,48438
1999-08-17,86799,41916
1999-08-24,83534,34463
1999-08-31,73844,26620
1999-09-07,72739,25335
1999-09-14,74979,24846
1999-09-21,79137,31101
1999-09-28,89783,44806
1999-10-05,92737,45232
1999-10-12,95551,50186
1999-10-19,80320,34695
1999-10-26,77899,28246
1999-11-02,79536,27340
1999-11-09,86458,15841
1999-11-16,81061,18593
1999-11-23,76209,26292
1999-11-30,71574,24433
1999-12-07,69769,22978
1999-12-14,69789,22429
1999-12-21,69062,25968
1999-12-28,70000,26058
2000-01-04,76093,34848
2000-01-11,73157,29769
2000-01-18,76432,24067
